created_at,Actual,Forecasted
2024-11-10 21:56:51+00:00,13.565,9.332
2024-11-10 21:58:23+00:00,13.565,9.332
2024-11-10 22:08:06+00:00,14.8,9.332
2024-11-10 22:10:28+00:00,14.8,9.332
2024-11-10 22:19:21+00:00,14.91,9.332
2024-11-10 22:24:02+00:00,14.91,9.332
2024-11-10 22:30:37+00:00,22.98,9.332
2024-11-10 22:36:11+00:00,3.86,9.332
2024-11-10 22:37:28+00:00,7.890000000000001,9.332
2024-11-10 22:38:45+00:00,7.890000000000001,9.332
2024-11-10 22:40:01+00:00,7.890000000000001,9.332
2024-11-10 22:41:52+00:00,8.33,9.332
2024-11-10 22:53:07+00:00,24.73,9.332
2024-11-10 23:00:13+00:00,15.38,9.332
2024-11-10 23:04:23+00:00,15.38,9.332
2024-11-10 23:15:38+00:00,22.12,9.332
2024-11-10 23:26:53+00:00,9.806666666666668,9.332
2024-11-10 23:29:07+00:00,9.806666666666668,9.332
2024-11-10 23:30:24+00:00,9.806666666666668,9.332
2024-11-10 23:38:09+00:00,16.34,9.332
2024-11-10 23:45:00+00:00,9.685,9.332
2024-11-10 23:49:24+00:00,9.685,9.332
2024-11-11 00:00:39+00:00,19.35,9.332
2024-11-11 00:11:55+00:00,16.04,9.332
2024-11-11 00:23:10+00:00,16.69,9.332
2024-11-11 00:34:25+00:00,12.88,9.332
2024-11-11 00:45:41+00:00,13.26,9.332
2024-11-11 00:56:56+00:00,13.77,9.332
2024-11-11 01:08:11+00:00,12.9,9.332
2024-11-11 01:19:26+00:00,12.14,9.332
2024-11-11 01:30:42+00:00,11.51,9.332
2024-11-11 01:41:57+00:00,10.14,9.332
2024-11-11 01:53:13+00:00,8.63,9.332
2024-11-11 02:04:30+00:00,6.985,9.332
2024-11-11 02:07:41+00:00,6.985,9.332
2024-11-11 02:15:45+00:00,9.64,9.332
2024-11-11 02:27:00+00:00,1.0,9.332
2024-11-11 02:38:16+00:00,7.94,9.332
2024-11-11 02:49:31+00:00,7.27,9.332
2024-11-11 03:00:46+00:00,5.81,9.332
2024-11-11 03:12:02+00:00,3.28,9.332
2024-11-11 03:23:17+00:00,4.07,9.332
2024-11-11 03:34:32+00:00,4.46,9.332
2024-11-11 03:45:48+00:00,5.01,9.332
2024-11-11 03:57:03+00:00,4.97,9.332
2024-11-11 04:08:18+00:00,4.97,9.332
2024-11-11 04:19:34+00:00,4.67,9.332
2024-11-11 04:30:49+00:00,4.56,9.332
2024-11-11 04:40:02+00:00,2.375,9.332
2024-11-11 04:42:05+00:00,2.375,9.332
2024-11-11 04:53:20+00:00,5.47,9.332
2024-11-11 05:04:36+00:00,5.57,9.332
2024-11-11 05:12:56+00:00,4.24,9.332
2024-11-11 05:15:51+00:00,4.24,9.332
2024-11-11 05:27:06+00:00,5.13,9.332
2024-11-11 05:38:22+00:00,5.45,9.332
2024-11-11 05:49:37+00:00,5.08,9.332
2024-11-11 06:00:52+00:00,4.51,9.332
2024-11-11 06:12:08+00:00,4.53,9.332
2024-11-11 06:23:23+00:00,4.89,9.332
2024-11-11 06:34:38+00:00,5.45,9.332
2024-11-11 06:45:54+00:00,4.87,9.332
2024-11-11 06:57:09+00:00,4.51,9.332
2024-11-11 07:08:24+00:00,5.09,9.332
2024-11-11 07:19:40+00:00,5.37,9.332
2024-11-11 07:30:55+00:00,4.77,9.332
2024-11-11 07:42:10+00:00,4.91,9.332
2024-11-11 07:53:26+00:00,4.85,9.332
2024-11-11 08:04:41+00:00,4.77,9.332
2024-11-11 08:15:56+00:00,4.77,9.332
2024-11-11 08:27:12+00:00,4.82,9.332
2024-11-11 08:38:27+00:00,5.23,9.332
2024-11-11 08:49:43+00:00,4.41,9.332
2024-11-11 09:00:58+00:00,5.21,9.332
2024-11-11 09:12:13+00:00,4.75,9.332
2024-11-11 09:23:28+00:00,5.11,9.332
2024-11-11 09:34:44+00:00,5.25,9.332
2024-11-11 09:45:59+00:00,4.75,9.332
2024-11-11 09:57:14+00:00,4.61,9.332
2024-11-11 10:08:30+00:00,4.63,9.332
2024-11-11 10:19:45+00:00,4.61,9.332
2024-11-11 10:31:00+00:00,4.32,9.332
2024-11-11 10:42:16+00:00,4.17,9.332
2024-11-11 10:53:31+00:00,5.18,9.332
2024-11-11 11:04:46+00:00,5.09,9.332
2024-11-11 11:16:02+00:00,4.27,9.332
2024-11-11 11:27:17+00:00,4.63,9.332
2024-11-11 11:38:32+00:00,4.65,9.332
2024-11-11 11:49:48+00:00,5.16,9.332
2024-11-11 12:01:03+00:00,4.63,9.332
2024-11-11 12:12:18+00:00,4.65,9.332
2024-11-11 12:23:33+00:00,5.08,9.332
2024-11-11 12:34:49+00:00,4.79,9.332
2024-11-11 12:46:04+00:00,4.24,9.332
2024-11-11 12:57:19+00:00,4.68,9.332
2024-11-11 13:08:35+00:00,4.43,9.332
2024-11-11 13:19:50+00:00,4.43,9.332
2024-11-11 13:31:05+00:00,4.25,9.332
2024-11-11 13:42:21+00:00,4.37,9.332
2024-11-11 13:53:36+00:00,3.86,9.332
2024-11-11 14:04:51+00:00,4.27,9.332
2024-11-11 14:16:07+00:00,4.34,9.332
2024-11-11 14:27:22+00:00,4.37,9.332
2024-11-11 14:38:37+00:00,4.36,9.332
2024-11-11 14:49:53+00:00,4.43,9.332
2024-11-11 15:01:08+00:00,4.32,9.332
2024-11-11 15:12:23+00:00,4.31,9.332
2024-11-11 15:23:39+00:00,3.72,9.332
2024-11-11 15:34:54+00:00,4.19,9.332
2024-11-11 15:46:09+00:00,3.82,9.332
2024-11-11 15:57:25+00:00,4.13,9.332
2024-11-11 16:08:40+00:00,4.12,9.332
2024-11-11 16:19:55+00:00,4.24,9.332
2024-11-11 16:31:11+00:00,4.2,9.332
2024-11-11 16:42:26+00:00,3.69,9.332
2024-11-11 16:53:41+00:00,3.77,9.332
2024-11-11 17:04:57+00:00,4.25,9.332
2024-11-11 17:16:12+00:00,4.22,9.332
2024-11-11 17:27:27+00:00,4.08,9.332
2024-11-11 17:38:43+00:00,4.0,9.332
2024-11-11 17:49:58+00:00,4.49,9.332
2024-11-11 18:01:13+00:00,5.23,9.332
2024-11-11 18:12:29+00:00,6.36,9.332
2024-11-11 18:34:59+00:00,7.67,9.332
